デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   CA200350
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-23 14:13:29
終了時刻:      2020-12-23 14:53:29
測定データ数:      8
測定時間:      0h 40m 0s 
最大値:        24.80℃/--%RH
最小値:        24.30℃/--%RH
平均値:        24.40℃ /--%RH
平均動態温度:24.40℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-23,14:13:29, 24.80,--
2020-12-23,14:18:29, 24.40,--
2020-12-23,14:23:29, 24.40,--
2020-12-23,14:28:29, 24.50,--
2020-12-23,14:33:29, 24.50,--
2020-12-23,14:38:29, 24.30,--
2020-12-23,14:43:29, 24.30,--
2020-12-23,14:53:29, 24.40,--

