デバイス情報
******************************
デバイスタイプ:	   中距離無線温湿度センサー
ID:   C2200501
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-15 15:55:55
終了時刻:      2021-02-15 16:32:34
測定データ数:      6
測定時間:      0h 36m 39s 
最大値:        24.20℃/58%RH
最小値:        24.10℃/57%RH
平均値:        24.10℃ /50%RH
平均動態温度:24.10℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-15,15:55:55, 24.20,57
2021-02-15,15:56:57, 24.20,57
2021-02-15,15:57:59, 24.20,57
2021-02-15,15:59:00, 24.20,57
2021-02-15,16:00:02, 24.20,57
2021-02-15,16:32:34, 24.10,58

