デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   CB200503
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-11-11 10:19:51
終了時刻:      2020-11-11 10:46:54
測定データ数:      4
測定時間:      0h 27m 3s 
最大値:        17.60℃/42.9%RH
最小値:        16.39℃/36.29%RH
平均値:        16.80℃ /30%RH
平均動態温度:16.80℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-11-11,10:19:51, 17.60,37.79
2020-11-11,10:30:47, 16.89,42.9
2020-11-11,10:35:53, 16.50,40
2020-11-11,10:46:54, 16.39,36.29

