デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   CA200350
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-23 13:53:35
終了時刻:      2020-12-23 14:23:29
測定データ数:      4
測定時間:      0h 29m 54s 
最大値:        25.30℃/--%RH
最小値:        24.40℃/--%RH
平均値:        24.70℃ /--%RH
平均動態温度:24.70℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-23,13:53:35, 25.30,--
2020-12-23,14:13:29, 24.80,--
2020-12-23,14:18:29, 24.40,--
2020-12-23,14:23:29, 24.40,--

